1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
116	-1.093004	62.101135	29.333786	0.007438	3.2
117	-1.067750	62.011192	29.365569	0.010674	3.1
118	-1.065382	61.921249	29.397421	0.010177	3.1
119	-1.044049	62.918478	29.048083	0.007355	3.8
120	-1.118906	62.865512	29.066428	0.010307	3.0
121	-1.082107	62.776432	29.097335	0.008379	3.0
122	-1.061614	63.776431	28.754111	0.008679	3.4
123	-1.085514	64.754078	28.426297	0.009394	3.1
124	-1.046270	64.664139	28.456142	0.011816	3.8
125	-1.071359	65.343601	28.232212	0.009775	3.4
126	-1.025125	66.343601	27.908981	0.009011	3.2
127	-1.063090	66.283068	27.928336	0.007387	3.1
128	-1.112167	66.770262	27.773312	0.008440	2.8
129	-1.043658	66.680319	27.801802	0.007915	2.9
130	-1.084871	66.590376	27.830351	0.008714	2.9
131	-1.108342	66.500433	27.858958	0.009725	3.3
132	-1.071957	66.410490	27.887624	0.009264	3.3
133	-1.044858	66.320547	27.916349	0.010399	3.0
134	-1.094440	67.320547	27.600269	0.007511	2.8
135	-1.082293	67.230604	27.628405	0.005550	2.8
136	-1.104367	67.177810	27.644947	0.008405	2.8
137	-1.085805	68.177810	27.334949	0.007641	3.1
138	-1.088139	69.177810	27.031826	0.009406	3.2
139	-1.105256	70.177810	26.735352	0.006912	3.4
140	-1.097263	71.167959	26.448138	0.007620	3.6
141	-1.059595	71.078016	26.473973	0.007470	3.8
142	-1.110740	70.988073	26.499858	0.008812	3.1
143	-1.119155	70.898130	26.525794	0.007474	2.8
144	-1.047916	71.881672	26.244907	0.009000	2.8
145	-1.075322	71.791891	26.270301	0.009630	3.1
146	-1.097924	72.791891	25.990209	0.010627	3.3
147	-1.115601	73.791891	25.716028	0.009790	3.8
148	-1.072811	73.701948	25.740451	0.008493	3.7
149	-1.087184	73.612005	25.764921	0.009026	3.4
150	-1.104204	73.522062	25.789438	0.005736	3.6
151	-1.106417	73.432119	25.814002	0.008485	3.8
152	-1.032159	73.492440	25.797523	0.007471	3.3
153	-1.067524	73.690752	25.743495	0.009215	3.3
154	-1.041820	74.690752	25.474467	0.009964	2.8
155	-1.077547	75.690752	25.211003	0.007828	3.5
156	-1.075778	75.601186	25.234378	0.004932	3.9
157	-1.074822	75.511243	25.257895	0.006324	3.3
158	-1.071659	75.421345	25.281444	0.008765	3.5
159	-1.054479	75.332210	25.304837	0.007836	3.2
160	-1.103717	75.763939	25.191935	0.007441	3.1
161	-1.107101	75.674119	25.215341	0.005719	2.9
162	-1.073930	75.584176	25.238823	0.008403	2.9
163	-1.078674	75.494233	25.262348	0.010400	2.9
164	-1.133535	75.404290	25.285917	0.010268	3.6
165	-1.087602	75.314347	25.309530	0.010581	3.2
166	-1.096421	75.274575	25.319986	0.006976	3.2
167	-1.068888	75.722082	25.202837	0.011840	3.2
168	-1.049607	75.632139	25.226295	0.011745	3.1
169	-1.119524	76.632139	24.967914	0.008187	3.2
170	-1.116238	76.542196	24.990937	0.010115	3.6
171	-1.098014	77.542196	24.737331	0.006420	3.4
172	-1.100051	77.452253	24.759930	0.011207	3.1
173	-1.069354	78.452253	24.510967	0.010064	3.0
174	-1.113022	79.452253	24.266961	0.006462	2.9
175	-1.104427	80.450009	24.028296	0.010161	3.2
176	-1.066279	80.361759	24.049216	0.011077	3.8
177	-1.092226	81.361447	23.814346	0.009262	3.7
178	-1.104141	82.361447	23.583947	0.008410	3.3
179	-1.118768	83.361447	23.357964	0.007406	3.7
180	-1.081198	83.822490	23.255228	0.007669	3.5
181	-1.108366	83.732547	23.275199	0.008054	3.4
182	-1.077007	84.718855	23.058052	0.006227	3.1
183	-1.088445	84.628912	23.077686	0.007388	3.1
184	-1.133926	84.569594	23.090653	0.006352	2.8
185	-1.081662	84.499502	23.105994	0.009566	3.6
186	-1.092145	84.965620	23.004356	0.006890	3.5
187	-1.110920	85.965614	22.789294	0.008043	3.4
188	-1.149119	86.964690	22.578409	0.005723	3.4
189	-1.124154	86.921098	22.587529	0.011238	2.8
190	-1.080184	86.831155	22.606369	0.010082	2.7
191	-1.088269	87.831155	22.398649	0.007385	3.4
192	-1.096086	87.746114	22.416165	0.007264	3.1
193	-1.130032	87.656174	22.434720	0.007799	3.0
194	-1.122423	87.566259	22.453301	0.005223	2.9
195	-1.095348	88.563971	22.248837	0.006098	2.8
196	-1.123561	88.474174	22.267086	0.006704	2.7
197	-1.110271	88.384370	22.285367	0.005516	3.0
198	-1.099468	89.214333	22.117549	0.006729	3.5
199	-1.120210	89.438138	22.072727	0.008486	3.1
200	-1.102416	89.583621	22.043688	0.006809	3.0
201	-1.156139	90.583621	21.846135	0.007749	3.1
202	-1.119508	90.493678	21.863759	0.007038	3.0
203	-1.093695	91.085236	21.748367	0.011049	3.3
204	-1.088740	90.995294	21.765833	0.006054	3.3
205	-1.120853	91.995278	21.573210	0.007705	3.3
206	-1.109432	91.905339	21.590395	0.006047	3.2
207	-1.129953	92.905323	21.400851	0.006263	4.0
208	-1.142663	93.074916	21.369035	0.010422	4.0
209	-1.139250	94.074912	21.183339	0.007847	3.4
210	-1.129800	93.984969	21.199909	0.009404	3.1
211	-1.110828	94.984965	21.017128	0.007158	3.2
212	-1.098906	94.895022	21.033439	0.006217	3.6
213	-1.093808	94.808557	21.049143	0.007272	4.1
214	-1.079342	95.808553	20.868942	0.007486	3.2
215	-1.109566	96.808551	20.691799	0.010286	3.6
216	-1.084890	97.793748	20.520195	0.006411	3.4
217	-1.063954	98.793748	20.348899	0.004924	3.4
218	-1.125192	98.703862	20.364179	0.005096	3.4
219	-1.145894	98.614684	20.379362	0.006116	3.1
220	-1.085554	99.614627	20.210408	0.008813	3.3
221	-1.106918	100.584262	20.049230	0.010536	3.9
222	-1.060217	101.584211	19.885684	0.006955	3.4
