1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.059548	0.000000	135.988889	0.030076	195.6
1	-1.068779	0.000000	135.988889	0.022423	4.0
2	-1.055460	0.910051	130.340485	0.025794	4.0
3	-1.085529	0.052265	135.651277	0.036563	3.7
4	-1.056963	1.052265	129.499923	0.026147	3.8
5	-1.077384	0.194465	134.741152	0.027697	3.8
6	-1.047536	1.194465	128.670217	0.025713	4.2
7	-1.064771	2.194465	123.122767	0.023623	3.6
8	-1.082465	3.194465	118.033886	0.029880	3.6
9	-1.057860	4.194462	113.348982	0.029607	3.4
10	-1.058323	5.194457	109.021795	0.024243	3.4
11	-1.112464	6.194456	105.012825	0.022735	3.8
12	-1.071300	5.336869	108.432277	0.029571	3.9
13	-1.067866	4.479069	112.082850	0.032689	3.9
14	-1.062152	5.479069	107.849965	0.024012	3.7
15	-1.092430	6.479069	103.925161	0.029522	3.7
16	-1.070957	7.479069	100.275984	0.022735	4.0
17	-1.054181	6.621269	103.390132	0.025772	4.1
18	-1.068123	7.621269	99.777779	0.022980	4.0
19	-1.075459	8.590272	96.510323	0.025147	4.0
20	-1.106243	7.732484	99.391570	0.026847	3.6
21	-1.091586	6.874684	102.450191	0.028304	3.7
22	-1.107965	7.874684	98.902093	0.030366	3.9
23	-1.100012	7.016884	101.930204	0.027124	3.8
24	-1.036332	6.927483	102.256500	0.031666	3.8
25	-1.089225	6.069683	105.496864	0.027771	4.2
26	-1.091718	7.069683	101.738472	0.024665	3.7
27	-1.122267	8.069683	98.238658	0.025837	3.5
28	-1.107684	7.211891	101.225638	0.022951	3.6
29	-1.090511	8.211891	97.760417	0.028926	4.7
30	-1.097331	9.211889	94.524597	0.025570	4.0
31	-1.128796	10.211878	91.496151	0.025455	3.7
32	-1.080929	11.211804	88.655907	0.025645	3.8
33	-1.056778	10.354074	91.081200	0.029920	3.8
34	-1.092511	11.178878	88.746621	0.024008	3.8
35	-1.089441	10.321106	91.177071	0.022170	4.2
36	-1.144456	9.463306	93.744478	0.028991	3.6
37	-1.102026	8.605539	96.460554	0.029166	3.7
38	-1.051147	7.773711	99.249160	0.023404	3.4
39	-1.085681	8.773383	95.916769	0.025396	3.6
40	-1.108281	9.773383	92.799895	0.030465	4.0
41	-1.106436	8.915584	95.460836	0.033006	3.8
42	-1.106172	9.897632	92.426716	0.026311	3.9
43	-1.117751	9.039832	95.066000	0.026431	3.4
44	-1.122599	8.182040	97.860419	0.034221	3.8
45	-1.098548	9.182040	94.618080	0.026606	3.8
46	-1.102808	8.324280	97.385740	0.024821	3.1
47	-1.058322	9.322538	94.179671	0.027107	3.7
48	-1.103354	8.464738	96.921501	0.024790	3.7
49	-1.143167	9.464738	93.740069	0.033790	3.9
50	-1.116639	8.854356	95.656617	0.036825	3.9
51	-1.081937	7.996556	98.486409	0.022822	3.3
52	-1.121527	8.799841	95.831608	0.024756	4.1
53	-1.096234	8.523701	96.727937	0.023895	3.3
54	-1.127500	9.522507	93.562650	0.037620	3.2
55	-1.114662	10.522507	90.594528	0.031183	3.9
56	-1.054624	11.522507	87.808933	0.024041	3.7
57	-1.091533	12.522507	85.189530	0.026938	3.9
58	-1.057573	13.522507	82.721879	0.030225	3.6
59	-1.124961	12.751544	84.611438	0.029270	3.4
60	-1.095714	11.893744	86.817927	0.032771	3.7
61	-1.111283	12.893744	84.256453	0.030898	3.5
62	-1.126880	13.893744	81.841796	0.024263	3.4
63	-1.098638	14.893744	79.561682	0.024239	3.5
64	-1.134116	14.035944	81.509625	0.021763	4.0
65	-1.110171	15.035734	79.248190	0.022989	3.9
66	-1.087097	15.990493	77.202719	0.032078	4.0
67	-1.140541	16.961897	75.227186	0.034824	3.5
68	-1.078876	17.961897	73.296397	0.029161	3.8
69	-1.118188	18.961897	71.462240	0.032343	3.4
70	-1.147804	18.104104	73.029846	0.029700	3.3
71	-1.096858	17.246304	74.667782	0.030562	4.0
72	-1.110537	16.388504	76.380876	0.028206	3.8
73	-1.153888	17.388504	74.391195	0.026530	3.6
74	-1.119717	16.530704	76.091477	0.026184	3.4
75	-1.140696	17.530704	74.116650	0.028144	3.4
76	-1.105692	16.672936	75.804197	0.022841	4.1
77	-1.149886	15.815138	77.570447	0.028291	4.0
78	-1.113020	16.807252	75.534891	0.031789	3.6
79	-1.131882	15.988831	77.206188	0.026950	4.3
80	-1.085923	16.987746	75.175997	0.031451	3.6
81	-1.083635	16.129946	76.912761	0.031068	3.4
82	-1.075605	15.272146	78.731671	0.026036	3.7
83	-1.161832	16.272146	76.619325	0.024074	3.5
84	-1.048959	15.414652	78.423562	0.020319	4.2
85	-1.124382	16.414651	76.327497	0.027571	4.1
86	-1.125342	17.414561	74.340735	0.033643	4.2
87	-1.117413	16.556761	76.038683	0.025655	4.3
88	-1.140079	17.556761	74.066560	0.023727	4.3
89	-1.121045	16.698961	75.751866	0.028219	4.8
90	-1.108462	17.698476	73.795326	0.024509	3.5
91	-1.072390	18.698476	71.936430	0.031925	3.5
92	-1.126962	19.698476	70.168884	0.030476	3.2
93	-1.144413	20.698470	68.486126	0.032307	3.3
94	-1.113319	21.698470	66.882178	0.024135	4.0
95	-1.183178	22.698470	65.351640	0.022668	4.1
