1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.884823	0.000000	66.031396	0.020830	49.4
1	-0.930587	0.000000	66.031396	0.025607	3.5
2	-0.970134	0.000000	66.031396	0.017183	3.2
3	-0.935611	0.000000	66.031396	0.013372	3.3
4	-1.007790	0.000000	66.031396	0.009183	3.4
5	-0.972021	0.000000	66.031396	0.010775	3.4
6	-0.999406	0.000000	66.031396	0.005320	3.6
7	-0.981317	0.000000	66.031396	0.004595	4.0
8	-1.000690	0.000000	66.031396	0.005714	4.1
9	-0.965362	0.000000	66.031396	0.009217	3.3
10	-0.948268	1.000000	63.029969	0.008067	3.1
11	-1.007613	2.000000	60.289535	0.004461	3.0
12	-0.984076	1.970940	60.365806	0.004779	3.5
13	-0.981115	1.941855	60.442337	0.005521	3.7
14	-0.965015	1.973826	60.358224	0.004806	3.8
15	-0.974156	2.272830	59.582756	0.005185	3.1
16	-0.937511	2.244837	59.654507	0.003647	3.7
17	-1.033305	3.244783	57.194133	0.004297	3.3
18	-0.997631	3.215697	57.262829	0.002805	3.0
19	-1.002927	3.186640	57.331623	0.002954	3.1
20	-0.982045	3.164001	57.385336	0.003539	3.2
21	-0.979072	3.134916	57.454492	0.004690	3.0
22	-0.975466	4.133611	55.171512	0.003357	3.4
23	-1.010022	4.104525	55.235433	0.004795	3.9
24	-1.017341	5.104433	53.119686	0.005920	3.5
25	-0.971234	6.104424	51.159888	0.003498	3.5
26	-0.973850	6.075350	51.214825	0.004584	3.2
27	-0.982921	6.046265	51.269901	0.004995	4.0
28	-1.009149	6.017196	51.325064	0.002607	3.7
29	-0.996660	5.988121	51.380358	0.002589	3.1
30	-0.985688	5.959096	51.435675	0.008347	3.4
31	-1.043594	5.930011	51.491228	0.004480	3.6
32	-0.932384	6.930011	49.647647	0.003872	3.3
33	-1.009739	7.930010	47.931518	0.002716	3.4
34	-1.026934	7.900925	47.979756	0.002772	3.1
35	-1.009975	8.820344	46.500446	0.002282	2.8
36	-1.033389	8.873284	46.418040	0.003981	3.1
37	-1.008422	9.005246	46.213897	0.002553	4.0
38	-0.999535	8.976160	46.258738	0.002920	3.4
39	-0.977225	8.947764	46.302599	0.004071	3.0
40	-0.985208	8.918679	46.347612	0.004857	3.0
41	-0.978562	8.889595	46.392710	0.006239	2.8
42	-1.010671	9.889595	44.890823	0.003228	3.2
43	-0.982299	10.830792	43.563456	0.003748	3.7
