[[-4.52449799e+01 -2.39091869e-02]
 [-6.78361130e+00 -2.71220040e-02]
 [-6.47504997e+00 -2.79732607e-02]
 [-6.16627979e+00 -2.87400298e-02]
 [-5.85731125e+00 -2.94128209e-02]
 [-5.54815531e+00 -2.99821477e-02]
 [-5.23882294e+00 -3.04385237e-02]
 [-4.92932463e+00 -3.07724606e-02]
 [-4.61967182e+00 -3.09770834e-02]
 [-4.30987692e+00 -3.10559664e-02]
 [-3.99995303e+00 -3.10152955e-02]
 [-3.68991303e+00 -3.08612585e-02]
 [-3.37977028e+00 -3.06000393e-02]
 [-3.06953740e+00 -3.02378256e-02]
 [-2.75922751e+00 -2.97808032e-02]
 [-2.44885397e+00 -2.92351600e-02]
 [-2.13842916e+00 -2.86070798e-02]
 [-1.82796669e+00 -2.79027503e-02]
 [-1.51747930e+00 -2.71283593e-02]
 [-1.20697987e+00 -2.62900908e-02]
 [-8.96481693e-01 -2.53941324e-02]
 [-5.85997641e-01 -2.44466700e-02]
 [-2.75540709e-01 -2.34538894e-02]
 [ 3.48760448e-02 -2.24219784e-02]
 [ 3.45239609e-01 -2.13571228e-02]
 [ 6.55537009e-01 -2.02655084e-02]
 [ 9.65755165e-01 -1.91533212e-02]
 [ 1.27588117e+00 -1.80267487e-02]
 [ 1.58590186e+00 -1.68919768e-02]
 [ 1.89580441e+00 -1.57551914e-02]
 [ 2.20557570e+00 -1.46225793e-02]
 [ 2.51520252e+00 -1.35003272e-02]
 [ 2.82467222e+00 -1.23946201e-02]
 [ 3.13397169e+00 -1.13116466e-02]
 [ 3.44308782e+00 -1.02575906e-02]
 [ 3.75200748e+00 -9.23863985e-03]
 [ 4.06071806e+00 -8.26098025e-03]
 [ 4.36920595e+00 -7.33079901e-03]
 [ 4.67745876e+00 -6.45428104e-03]
 [ 4.98546314e+00 -5.63761359e-03]
 [ 5.29320717e+00 -4.88553755e-03]
 [ 5.60068178e+00 -4.19701450e-03]
 [ 5.90787935e+00 -3.56955989e-03]
 [ 6.21479177e+00 -3.00069014e-03]
 [ 6.52141142e+00 -2.48792116e-03]
 [ 6.82773018e+00 -2.02876911e-03]
 [ 7.13374090e+00 -1.62074971e-03]
 [ 7.43943501e+00 -1.26137922e-03]
 [ 7.74480486e+00 -9.48173634e-04]
 [ 8.04984283e+00 -6.78648998e-04]
 [ 8.35453987e+00 -4.50321328e-04]
 [ 8.65888977e+00 -2.60706613e-04]
 [ 8.96288395e+00 -1.07320913e-04]
 [ 9.26651478e+00  1.23197451e-05]
 [ 9.56977367e+00  1.00699333e-04]
 [ 9.87265396e+00  1.60301817e-04]
 [ 1.01751471e+01  1.93611166e-04]
 [ 1.04772444e+01  2.03111369e-04]
 [ 1.07789392e+01  1.91286381e-04]
 [ 1.10802231e+01  1.60620169e-04]
 [ 1.13810892e+01  1.13596718e-04]
 [ 1.16815281e+01  5.26999902e-05]
 [ 1.19815331e+01 -1.95860448e-05]
 [ 1.22810955e+01 -1.00777412e-04]
 [ 1.25802088e+01 -1.88390142e-04]
 [ 1.28788633e+01 -2.79940286e-04]
 [ 1.31770525e+01 -3.72943818e-04]
 [ 1.34747677e+01 -4.64916840e-04]
 [ 1.37720022e+01 -5.53375285e-04]
 [ 1.40687466e+01 -6.35835284e-04]
 [ 1.43649940e+01 -7.09812855e-04]
 [ 1.46607370e+01 -7.72823929e-04]
 [ 1.49559755e+01 -8.23363604e-04]
 [ 1.52507524e+01 -8.63842550e-04]
 [ 1.55451174e+01 -8.97650432e-04]
 [ 1.58391199e+01 -9.28177033e-04]
 [ 1.61328106e+01 -9.58811957e-04]
 [ 1.64262428e+01 -9.92944930e-04]
 [ 1.67194614e+01 -1.03396561e-03]
 [ 1.70125217e+01 -1.08526379e-03]
 [ 1.73054714e+01 -1.15022901e-03]
 [ 1.75983620e+01 -1.23225106e-03]
 [ 1.78912430e+01 -1.33471959e-03]
 [ 1.81841640e+01 -1.46102428e-03]
 [ 1.84771786e+01 -1.61455479e-03]
 [ 1.87703342e+01 -1.79870089e-03]
 [ 1.90636826e+01 -2.01685238e-03]
 [ 1.93572731e+01 -2.27239844e-03]
 [ 1.96511574e+01 -2.56872945e-03]
 [ 1.99453850e+01 -2.90923472e-03]
 [ 2.02400074e+01 -3.29730380e-03]
 [ 2.05350723e+01 -3.73632670e-03]
 [ 2.08306332e+01 -4.22969321e-03]
 [ 2.11267376e+01 -4.78079217e-03]
 [ 2.14234390e+01 -5.39301429e-03]
 [ 2.17207851e+01 -6.06974913e-03]
 [ 2.20188274e+01 -6.81438576e-03]
 [ 2.23176174e+01 -7.63031421e-03]
 [ 2.26172028e+01 -8.52092449e-03]
 [ 2.29176369e+01 -9.48960520e-03]
 [ 2.32189674e+01 -1.05397478e-02]
 [ 2.35212479e+01 -1.16747404e-02]
 [ 2.38245239e+01 -1.28979729e-02]
 [ 2.41288509e+01 -1.42128356e-02]
 [ 2.44342480e+01 -1.56205995e-02]
 [ 2.47406311e+01 -1.71140637e-02]
 [ 2.50478840e+01 -1.86839066e-02]
 [ 2.53558941e+01 -2.03208067e-02]
 [ 2.56645451e+01 -2.20154468e-02]
 [ 2.59737244e+01 -2.37585027e-02]
 [ 2.62833157e+01 -2.55406573e-02]
 [ 2.65932064e+01 -2.73525901e-02]
 [ 2.69032803e+01 -2.91849785e-02]
 [ 2.72134247e+01 -3.10285054e-02]
 [ 2.75235252e+01 -3.28738466e-02]
 [ 2.78334675e+01 -3.47116850e-02]
 [ 2.81431370e+01 -3.65326963e-02]
 [ 2.84524193e+01 -3.83275636e-02]
 [ 2.87611980e+01 -4.00869697e-02]
 [ 2.90693626e+01 -4.18015867e-02]
 [ 2.93767967e+01 -4.34620976e-02]
 [ 2.96833839e+01 -4.50591855e-02]
 [ 2.99890137e+01 -4.65835221e-02]
 [ 3.02935715e+01 -4.80257943e-02]
