1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.002506	0.000000	197.979691	0.022404	92.2
1	-1.023595	0.000000	197.979691	0.022757	4.1
2	-1.102233	1.000000	188.980614	0.030642	4.2
3	-1.074024	2.000000	180.764065	0.025063	5.7
4	-1.110070	3.000000	173.232229	0.015851	5.3
5	-1.121628	4.000000	166.302940	0.019252	4.5
6	-1.089862	5.000000	159.906673	0.024161	6.2
7	-1.140665	6.000000	153.984204	0.025164	5.5
8	-1.090037	7.000000	148.484768	0.023953	5.2
9	-1.083540	8.000000	143.364604	0.026175	5.8
10	-1.075321	9.000000	138.585784	0.017791	4.4
11	-1.139642	10.000000	134.115274	0.017564	4.1
12	-1.133466	11.000000	129.924172	0.014266	5.1
13	-1.137836	12.000000	125.987076	0.020220	5.1
14	-1.098806	13.000000	122.281574	0.017588	4.2
15	-1.136446	14.000000	118.787814	0.029725	5.2
16	-1.073915	15.000000	115.488153	0.032028	4.6
17	-1.141911	16.000000	112.366852	0.035577	5.6
18	-1.101013	17.000000	109.409829	0.023553	5.7
19	-1.134359	18.000000	106.604449	0.022334	4.1
20	-1.102302	19.000000	103.939338	0.018501	5.5
21	-1.117320	20.000000	101.404232	0.018664	5.5
22	-1.149408	21.000000	98.989845	0.019214	7.1
23	-1.145275	22.000000	96.687756	0.017869	4.8
24	-1.148273	23.000000	94.490307	0.017069	5.4
25	-1.102050	24.000000	92.390522	0.020195	4.9
26	-1.111783	25.000000	90.382033	0.020012	5.6
27	-1.138395	26.000000	88.459011	0.019282	4.7
28	-1.136854	27.000000	86.616115	0.019163	4.3
29	-1.153111	28.000000	84.848439	0.020003	8.7
30	-1.162231	29.000000	83.151470	0.017797	5.0
31	-1.110097	30.000000	81.521049	0.016296	4.9
32	-1.158508	31.000000	79.953337	0.016736	6.9
33	-1.184171	32.000000	78.444783	0.018977	4.4
34	-1.137336	33.000000	76.992102	0.020255	5.1
35	-1.183938	34.000000	75.592246	0.016582	9.5
36	-1.145939	35.000000	74.242384	0.017326	4.7
37	-1.145987	36.000000	72.939886	0.018597	5.3
38	-1.131088	37.000000	71.682302	0.021046	4.4
39	-1.108857	38.000000	70.467348	0.024499	4.7
40	-1.174994	39.000000	69.292892	0.018702	5.2
41	-1.118182	40.000000	68.156943	0.023811	5.0
42	-1.135617	41.000000	67.057637	0.023451	5.3
43	-1.101682	42.000000	65.993230	0.023168	4.8
44	-1.142957	43.000000	64.962086	0.024612	5.8
45	-1.166133	42.721362	65.246149	0.024534	4.5
46	-1.146893	43.721362	64.238041	0.019024	5.6
47	-1.161076	44.721362	63.260611	0.025059	5.8
48	-1.146316	45.721362	62.312480	0.024628	4.5
49	-1.144395	46.721362	61.392349	0.019407	5.9
50	-1.215603	47.721362	60.498997	0.023415	5.9
51	-1.184598	48.721362	59.631272	0.019280	4.7
52	-1.209322	49.721362	58.788086	0.019485	5.0
53	-1.144194	50.721362	57.968413	0.022018	5.0
54	-1.158816	51.721362	57.171282	0.030047	4.5
55	-1.109817	52.721362	56.395777	0.028567	5.3
56	-1.164354	53.721362	55.641029	0.026500	5.1
57	-1.177687	54.721362	54.906217	0.024305	4.5
58	-1.153902	55.721362	54.190559	0.020795	6.4
59	-1.128876	56.721362	53.493318	0.019475	5.8
60	-1.148601	56.442545	53.685910	0.020152	5.0
61	-1.123449	57.442545	53.001512	0.011583	4.9
62	-1.198005	58.442545	52.334344	0.022696	5.5
63	-1.181379	59.434983	51.688623	0.030117	5.1
64	-1.179100	60.434983	51.053900	0.025206	5.1
65	-1.176357	61.434983	50.434577	0.014330	4.4
66	-1.167094	62.434983	49.830100	0.018038	4.8
67	-1.149871	63.434983	49.239940	0.015406	4.8
68	-1.147051	64.434983	48.663596	0.015152	5.1
69	-1.140365	65.434982	48.100588	0.015986	6.5
70	-1.156253	66.434982	47.550459	0.019122	5.6
71	-1.165185	66.166369	47.696991	0.021155	4.4
72	-1.113819	67.166369	47.156002	0.025230	4.1
73	-1.149708	68.166369	46.627148	0.019450	5.0
74	-1.194119	69.166369	46.110025	0.019967	4.9
75	-1.122283	70.166369	45.604246	0.016737	5.0
76	-1.128941	71.166369	45.109442	0.013726	5.5
